Problem id,Problem Name,Problem Link,Tags,difficulty,solved,total solved
1833F,Ira and Flamenco,https://codeforces.com//problemset/problem/1833/F,"combinatorics,constructive algorithms,data structures,implementation,math,sortings,two pointers",1700,16/16,x5530
1833E,Round Dance,https://codeforces.com//problemset/problem/1833/E,"dfs and similar,dsu,graphs,shortest paths",1600,18/18,x8351
1833D,Flipper,https://codeforces.com//problemset/problem/1833/D,"brute force,constructive algorithms,greedy",1400,17/18,x11171
1833C,Vlad Building Beautiful Array,https://codeforces.com//problemset/problem/1833/C,"greedy,math",800,20/20,x23523
1833B,Restore the Weather,https://codeforces.com//problemset/problem/1833/B,"greedy,sortings",900,20/20,x22608
1833A,Musical Puzzle,https://codeforces.com//problemset/problem/1833/A,"implementation,strings",800,20/20,x28881
1832F,Zombies,https://codeforces.com//problemset/problem/1832/F,"binary search,dp",3200,,x214
1832E,Combinatorics Problem,https://codeforces.com//problemset/problem/1832/E,"brute force,combinatorics,dp",2200,2/2,x1818
1832D2,Red-Blue Operations (Hard Version),https://codeforces.com//problemset/problem/1832/D2,"binary search,constructive algorithms,greedy,implementation,math",2400,1/1,x1602
1832D1,Red-Blue Operations (Easy Version),https://codeforces.com//problemset/problem/1832/D1,"binary search,greedy,implementation,math",2100,1/1,x2505
1832C,Contrast Value,https://codeforces.com//problemset/problem/1832/C,"greedy,implementation",1200,13/13,x14922
1832B,Maximum Sum,https://codeforces.com//problemset/problem/1832/B,"brute force,sortings,two pointers",1100,13/13,x16399
1832A,New Palindrome,https://codeforces.com//problemset/problem/1832/A,strings,800,14/14,x22522
1831B,Array merging,https://codeforces.com//problemset/problem/1831/B,"constructive algorithms,greedy",1000,21/21,x15482
1831A,Twin Permutations,https://codeforces.com//problemset/problem/1831/A,constructive algorithms,800,21/21,x20646
1830F,The Third Grace,https://codeforces.com//problemset/problem/1830/F,"data structures,dp",3200,,x114
1830E,Bully Sort,https://codeforces.com//problemset/problem/1830/E,"data structures,math",3500,,x162
1830D,Mex Tree,https://codeforces.com//problemset/problem/1830/D,"brute force,dp,trees",2800,,x458
1830C,Hyperregular Bracket Strings,https://codeforces.com//problemset/problem/1830/C,"combinatorics,greedy,hashing,math,number theory,sortings",2400,2/3,x1276
1830B,The BOSS Can Count Pairs,https://codeforces.com//problemset/problem/1830/B,"brute force,math",2000,14/15,x3948
1830A,Copil Copac Draws Trees,https://codeforces.com//problemset/problem/1830/A,"dfs and similar,dp,graphs,trees",1400,18/19,x10596
1829H,Don't Blame Me,https://codeforces.com//problemset/problem/1829/H,"bitmasks,combinatorics,dp,math",1700,9/9,x5624
1829G,Hits Different,https://codeforces.com//problemset/problem/1829/G,"data structures,dp,implementation,math",1600,8/8,x7599
1829F,Forever Winter,https://codeforces.com//problemset/problem/1829/F,"dfs and similar,graphs,math",1300,11/11,x13306
1829E,The Lakes,https://codeforces.com//problemset/problem/1829/E,"dfs and similar,dsu,graphs,implementation",1100,12/12,x15109
1829D,Gold Rush,https://codeforces.com//problemset/problem/1829/D,"brute force,dfs and similar,dp,implementation",1000,12/12,x20002
1829C,Mr. Perfectly Fine,https://codeforces.com//problemset/problem/1829/C,"bitmasks,greedy,implementation",800,12/12,x23449
1829B,Blank Space,https://codeforces.com//problemset/problem/1829/B,implementation,800,12/12,x32194
1829A,Love Story,https://codeforces.com//problemset/problem/1829/A,"implementation,strings",800,13/13,x35771
1828B,Permutation Swap,https://codeforces.com//problemset/problem/1828/B,"math,number theory",900,18/18,x17402
1828A,Divisible Array,https://codeforces.com//problemset/problem/1828/A,"constructive algorithms,math",800,18/18,x21079
1827F,Copium Permutation,https://codeforces.com//problemset/problem/1827/F,"constructive algorithms,data structures,greedy",3500,,x85
1827E,Bus Routes,https://codeforces.com//problemset/problem/1827/E,"binary search,constructive algorithms,dfs and similar,greedy,trees",3400,,x291
1827D,Two Centroids,https://codeforces.com//problemset/problem/1827/D,"data structures,dfs and similar,greedy,trees",2800,,x551
1827C,Palindrome Partition,https://codeforces.com//problemset/problem/1827/C,"binary search,brute force,data structures,dp,hashing,strings",2600,,x945
1827B2,Range Sorting (Hard Version),https://codeforces.com//problemset/problem/1827/B2,"binary search,data structures,dp,greedy",2400,0/2,x1502
1827B1,Range Sorting (Easy Version),https://codeforces.com//problemset/problem/1827/B1,"binary search,dp,dsu,greedy,trees,two pointers",2000,4/8,x3217
1827A,Counting Orders,https://codeforces.com//problemset/problem/1827/A,"combinatorics,math,sortings,two pointers",1100,18/18,x15180
1826F,Fading into Fog,https://codeforces.com//problemset/problem/1826/F,"geometry,interactive,math,probabilities",2800,,x285
1826E,Walk the Runway,https://codeforces.com//problemset/problem/1826/E,"bitmasks,brute force,data structures,dp,graphs,implementation,sortings",2400,1/2,x1290
1826D,Running Miles,https://codeforces.com//problemset/problem/1826/D,"brute force,dp,greedy",1700,6/6,x6325
1826C,Dreaming of Freedom,https://codeforces.com//problemset/problem/1826/C,"greedy,math,number theory",1300,7/9,x10825
1826B,Lunatic Never Content,https://codeforces.com//problemset/problem/1826/B,"math,number theory",1100,10/10,x13076
1826A,Trust Nobody,https://codeforces.com//problemset/problem/1826/A,"brute force,greedy,implementation,sortings",1200,9/11,x12609
1825B,LuoTianyi and the Table,https://codeforces.com//problemset/problem/1825/B,"greedy,math",1000,11/11,x12835
1825A,LuoTianyi and the Palindrome String,https://codeforces.com//problemset/problem/1825/A,"greedy,strings",800,12/12,x17656
1824E,LuoTianyi and Cartridge,https://codeforces.com//problemset/problem/1824/E,"data structures,trees",3500,,x94
1824D,LuoTianyi and the Function,https://codeforces.com//problemset/problem/1824/D,data structures,3000,,x352
1824C,LuoTianyi and XOR-Tree,https://codeforces.com//problemset/problem/1824/C,"data structures,dfs and similar,dp,dsu,greedy,trees",2500,0/2,x1000
1824B2,LuoTianyi and the Floating Islands (Hard Version),https://codeforces.com//problemset/problem/1824/B2,"combinatorics,dfs and similar,math,probabilities,trees",2300,1/1,x2186
1824B1,LuoTianyi and the Floating Islands (Easy Version),https://codeforces.com//problemset/problem/1824/B1,"combinatorics,math,probabilities,trees",1800,4/5,x3745
1824A,LuoTianyi and the Show,https://codeforces.com//problemset/problem/1824/A,"greedy,implementation",1400,10/11,x9535
1823F,Random Walk,https://codeforces.com//problemset/problem/1823/F,"dp,graphs,math,probabilities,trees",2600,,x568
1823E,Removing Graph,https://codeforces.com//problemset/problem/1823/E,"brute force,dp,games,graphs,math",2500,1/1,x1049
1823D,Unique Palindromes,https://codeforces.com//problemset/problem/1823/D,"constructive algorithms,math,strings",1900,2/2,x3191
1823C,Strongly Composite,https://codeforces.com//problemset/problem/1823/C,"greedy,math,number theory",1300,6/6,x10134
1823B,Sort with Step,https://codeforces.com//problemset/problem/1823/B,"brute force,math,sortings",900,7/7,x13668
1823A,A-characteristic,https://codeforces.com//problemset/problem/1823/A,"combinatorics,constructive algorithms,math",800,7/7,x14652
1822G2,Magic Triples (Hard Version),https://codeforces.com//problemset/problem/1822/G2,"brute force,data structures,math,number theory",2200,7/9,x1917
1822G1,Magic Triples (Easy Version),https://codeforces.com//problemset/problem/1822/G1,"brute force,data structures,math,number theory",1700,14/14,x5334
1822F,Gardening Friends,https://codeforces.com//problemset/problem/1822/F,"brute force,dfs and similar,dp,graphs,trees",1700,7/7,x4538
1822E,Making Anti-Palindromes,https://codeforces.com//problemset/problem/1822/E,"greedy,math,strings",1600,12/14,x7938
1822D,Super-Permutation,https://codeforces.com//problemset/problem/1822/D,"constructive algorithms,math",1200,15/17,x13779
1822C,Bun Lover,https://codeforces.com//problemset/problem/1822/C,math,800,16/16,x20232
1822B,Karina and Array,https://codeforces.com//problemset/problem/1822/B,"greedy,math,sortings",800,16/16,x21924
1822A,TubeTube Feed,https://codeforces.com//problemset/problem/1822/A,"brute force,implementation",800,16/16,x21684
1821F,Timber,https://codeforces.com//problemset/problem/1821/F,"combinatorics,dp,fft,math",2600,,x588
